"","name","ID","Glucose.plus.Acetate_vs_Lysine_p.val","Glucose.plus.Acetate_vs_Lysine_p.adj","significant","Glucose.plus.Acetate_vs_Lysine_significant","Glucose.plus.Acetate_vs_Lysine_ratio","Glucose.plus.Acetate_centered","Lysine_centered"
"11","IB211_00027c",">AF_00027c AF_00027c TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-) 28477:29253 reverse MW:26944",0.76462187942141,0.882,FALSE,FALSE,0.0765,0.0382,-0.0382
"12","IB211_00029",">AF_00029 AF_00029 Cell division protein FtsH (EC 3.4.24.-) 29456:31585 forward MW:77376",0.000441214861565167,0.397,FALSE,FALSE,-1.35,-0.674,0.674
"13","IB211_00031c",">AF_00031c AF_00031c Twitching motility protein PilT 32102:33160 reverse MW:38699",0.0747402708479026,0.823,FALSE,FALSE,0.442,0.221,-0.221
"14","IB211_00036c",">AF_00036c AF_00036c Type IV fimbrial assembly protein PilC 34834:35874 reverse MW:36662",0.0116536210806835,0.744,FALSE,FALSE,-0.746,-0.373,0.373
"15","IB211_00039c",">AF_00039c AF_00039c Transcriptional regulator, SARP family protein 37618:38835 reverse MW:45649",0.74692968132443,0.881,FALSE,FALSE,-0.0556,-0.0278,0.0278
"16","IB211_00041",">AF_00041 AF_00041 hypothetical protein 39087:39725 forward MW:23403",0.0245791148612769,0.781,FALSE,FALSE,0.844,0.422,-0.422
"17","IB211_00044c",">AF_00044c AF_00044c Metal dependent hydrolase 40546:41388 reverse MW:29808",0.0216551383344542,0.776,FALSE,FALSE,-0.622,-0.311,0.311
"18","IB211_00046c",">AF_00046c AF_00046c FIG001583: hypothetical protein, contains S4-like RNA binding domain 41604:42401 reverse MW:29045",0.931071430234754,0.887,FALSE,FALSE,0.0634,0.0317,-0.0317
"19","IB211_00048c",">AF_00048c AF_00048c hypothetical protein 42921:46319 reverse MW:121707",1.66049907109625e-05,0.0307,FALSE,FALSE,-1.64,-0.819,0.819
"20","IB211_00070c",">AF_00070c AF_00070c archaeal ATPase, fused to C-terminal DUF234 domain 68576:70003 reverse MW:54459",0.542767890411851,0.874,FALSE,FALSE,0.485,0.243,-0.243
"21","IB211_00093c",">AF_00093c AF_00093c hypothetical protein 92518:92781 reverse MW:9231",0.205953328269699,0.851,FALSE,FALSE,1.29,0.646,-0.646
"22","IB211_00100",">AF_00100 AF_00100 Alkyl hydroperoxide reductase protein C (EC 1.6.4.-) 96565:97128 forward MW:21004",0.000207072160040706,0.273,FALSE,FALSE,-3.4,-1.7,1.7
"23","IB211_00101",">AF_00101 AF_00101 Alkyl hydroperoxide reductase protein F (EC 1.6.4.-) 97132:98754 forward MW:58869",0.00131840713536109,0.554,FALSE,FALSE,-2.08,-1.04,1.04
"24","IB211_00124",">AF_00124 AF_00124 GTP-binding protein TypA/BipA 123419:125242 forward MW:66919",0.00173101083950526,0.586,FALSE,FALSE,-0.737,-0.368,0.368
"25","IB211_00127c",">AF_00127c AF_00127c tRNA-specific 2-thiouridylase MnmA 128060:129091 reverse MW:37089",0.524453610758172,0.873,FALSE,FALSE,-0.214,-0.107,0.107
"26","IB211_00128c",">AF_00128c AF_00128c tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA 129109:130974 reverse MW:68262",0.545701478158779,0.874,FALSE,FALSE,-0.243,-0.121,0.121
"27","IB211_00129c",">AF_00129c AF_00129c ATP-dependent RNA helicase RhlE 131094:132899 reverse MW:65478",0.000303149158428311,0.336,FALSE,FALSE,-3.54,-1.77,1.77
"28","IB211_00139",">AF_00139 AF_00139 Lipid A export ATP-binding/permease protein MsbA 140960:142714 forward MW:65087",0.0859339702896488,0.827,FALSE,FALSE,-0.602,-0.301,0.301
"29","IB211_00142",">AF_00142 AF_00142 Deblocking aminopeptidase (EC 3.4.11.-) 144590:145630 forward MW:37446",0.702780370709116,0.88,FALSE,FALSE,-0.286,-0.143,0.143
"30","IB211_00143",">AF_00143 AF_00143 Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-) 145748:147865 forward MW:75959",0.811344054633867,0.883,FALSE,FALSE,-0.103,-0.0515,0.0515
"31","IB211_00144",">AF_00144 AF_00144 GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I 147879:150101 forward MW:83115",0.0196940586026814,0.771,FALSE,FALSE,-0.537,-0.268,0.268
"32","IB211_00146",">AF_00146 AF_00146 probably carbamoylphosphate synthase large subunit, evidenced by COGnitor 150664:151872 forward MW:46110",0.242911787776101,0.855,FALSE,FALSE,-0.436,-0.218,0.218
"33","IB211_00151",">AF_00151 AF_00151 UDP-N-acetylmuramoylalanyl-D-glutamate--2,6- diaminopimelate ligase (EC 6.3.2.13) 153611:156001 forward MW:86870",0.512313048547355,0.872,FALSE,FALSE,-0.122,-0.0608,0.0608
"34","IB211_00152",">AF_00152 AF_00152 FIG007959: peptidase, M16 family 156112:157371 forward MW:46276",0.000148447005868626,0.227,FALSE,FALSE,-1.75,-0.877,0.877
"35","IB211_00153c",">AF_00153c AF_00153c 3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55) 157559:157969 reverse MW:14437",0.106497746305856,0.833,FALSE,FALSE,-0.785,-0.393,0.393
"36","IB211_00154c",">AF_00154c AF_00154c D-beta-hydroxybutyrate permease 158040:159380 reverse MW:46917",0.0904826400364122,0.829,FALSE,FALSE,-2.63,-1.32,1.32
"37","IB211_00155c",">AF_00155c AF_00155c Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8) 159429:160979 reverse MW:54861",0.000412922943580066,0.386,FALSE,FALSE,-1.99,-0.995,0.995
"38","IB211_00156",">AF_00156 AF_00156 LysR family regulatory protein CidR 161422:162357 forward MW:35419",7.19642866823754e-05,0.144,FALSE,FALSE,-2.22,-1.11,1.11
"39","IB211_00157c",">AF_00157c AF_00157c nucleotide-binding protein 162421:163251 reverse MW:28807",0.0159393638769379,0.761,FALSE,FALSE,-1.39,-0.697,0.697
"40","IB211_00159c",">AF_00159c AF_00159c Uridine kinase (EC 2.7.1.48) 163334:164278 reverse MW:35781",7.83330213995281e-05,0.153,FALSE,FALSE,-1.6,-0.8,0.8
"41","IB211_00160c",">AF_00160c AF_00160c Hypothetical radical SAM family enzyme, NOT coproporphyrinogen III oxidase, oxygen-independent 164263:165738 reverse MW:53732",0.00560187318851645,0.696,FALSE,FALSE,-0.637,-0.319,0.319
"42","IB211_00161c",">AF_00161c AF_00161c hypothetical 165946:166563 reverse MW:21830",0.31694691128713,0.861,FALSE,FALSE,1.06,0.53,-0.53
"43","IB211_00163c",">AF_00163c AF_00163c Alanine racemase (EC 5.1.1.1) 167066:168133 reverse MW:38444",0.0598635259502969,0.816,FALSE,FALSE,0.326,0.163,-0.163
"44","IB211_00171",">AF_00171 AF_00171 tRNA-i(6)A37 methylthiotransferase 172264:173679 forward MW:53037",0.000943855919896455,0.511,FALSE,FALSE,-1.34,-0.67,0.67
"45","IB211_00172",">AF_00172 AF_00172 DNA mismatch repair protein MutS 173731:176328 forward MW:95819",0.0314717052022087,0.792,FALSE,FALSE,-0.529,-0.264,0.264
"46","IB211_00174",">AF_00174 AF_00174 DNA mismatch repair protein MutL 177134:179074 forward MW:68862",0.000238010117645557,0.296,FALSE,FALSE,-1.43,-0.717,0.717
"47","IB211_00179",">AF_00179 AF_00179 Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC 181959:182672 forward MW:25784",0.00165739140035617,0.582,FALSE,FALSE,-0.878,-0.439,0.439
"48","IB211_00180",">AF_00180 AF_00180 FIG001960: FtsZ-interacting protein related to cell division 182703:183182 forward MW:18328",0.0896532993407489,0.828,FALSE,FALSE,-0.705,-0.352,0.352
"49","IB211_00181",">AF_00181 AF_00181 Cell division initiation protein DivIVA 183549:184346 forward MW:29891",0.333013093049005,0.863,FALSE,FALSE,-0.199,-0.0994,0.0994
"50","IB211_00183",">AF_00183 AF_00183 Isoleucyl-tRNA synthetase (EC 6.1.1.5) 184698:187502 forward MW:104530",0.654422995266993,0.878,FALSE,FALSE,0.0664,0.0332,-0.0332
"51","IB211_00184c",">AF_00184c AF_00184c Aspartate ammonia-lyase (EC 4.3.1.1) 187617:189044 reverse MW:51622",0.000795894279940774,0.487,FALSE,FALSE,2.19,1.09,-1.09
"52","IB211_00188",">AF_00188 AF_00188 ABC transporter ATP-binding protein uup 192047:193651 forward MW:60593",0.00155677953283774,0.574,FALSE,FALSE,-0.949,-0.474,0.474
"53","IB211_00189",">AF_00189 AF_00189 hypothetical protein 193852:194742 forward MW:32128",0.317831657393256,0.861,FALSE,FALSE,-0.695,-0.348,0.348
"54","IB211_00190",">AF_00190 AF_00190 Methionyl-tRNA synthetase (EC 6.1.1.10) 194732:196726 forward MW:74746",0.0119430878375556,0.745,FALSE,FALSE,-0.489,-0.244,0.244
"55","IB211_00193",">AF_00193 AF_00193 radical SAM domain protein 197838:198455 forward MW:23266",0.0881584058948537,0.828,FALSE,FALSE,-0.477,-0.239,0.239
"56","IB211_00200",">AF_00200 AF_00200 5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20) 203583:204467 forward MW:32359",0.168750670791316,0.846,FALSE,FALSE,-0.455,-0.227,0.227
"57","IB211_00202",">AF_00202 AF_00202 5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13) 205176:207560 forward MW:83988",0.000915221902204844,0.506,FALSE,FALSE,-1.22,-0.608,0.608
"58","IB211_00203",">AF_00203 AF_00203 hypothetical protein 207767:210115 forward MW:83206",0.00180991204677237,0.592,FALSE,FALSE,1.65,0.825,-0.825
"59","IB211_00205",">AF_00205 AF_00205 Transcriptional regulator of fatty acid biosynthesis FabT 210280:210735 forward MW:17275",0.0602223448491581,0.816,FALSE,FALSE,0.901,0.451,-0.451
"60","IB211_00206",">AF_00206 AF_00206 DegV family protein 210776:211615 forward MW:29952",0.00830683079720992,0.723,FALSE,FALSE,-0.818,-0.409,0.409
"61","IB211_00207",">AF_00207 AF_00207 Sporulation integral membrane protein YtvI 212069:213208 forward MW:41036",0.373201918167851,0.865,FALSE,FALSE,0.833,0.417,-0.417
"62","IB211_00209c",">AF_00209c AF_00209c Translation elongation factor LepA 215081:216889 reverse MW:67357",0.00242841492444831,0.623,FALSE,FALSE,-1.51,-0.757,0.757
"63","IB211_00212",">AF_00212 AF_00212 Phosphate acetyltransferase (EC 2.3.1.8) 218020:218994 forward MW:34830",0.000348943286923285,0.359,FALSE,FALSE,-1.66,-0.831,0.831
"64","IB211_00218",">AF_00218 AF_00218 FIG00647093: hypothetical protein 223948:226029 forward MW:76443",0.194245195227047,0.85,FALSE,FALSE,-0.335,-0.167,0.167
"65","IB211_00219",">AF_00219 AF_00219 Deoxyuridine 5-triphosphate nucleotidohydrolase (EC 3.6.1.23) 226051:226500 forward MW:15162",0.66370294733907,0.878,FALSE,FALSE,0.195,0.0976,-0.0976
"66","IB211_00220",">AF_00220 AF_00220 Septum formation protein Maf 226557:227144 forward MW:20415",0.0065219211879644,0.707,FALSE,FALSE,0.759,0.379,-0.379
"67","IB211_00223",">AF_00223 AF_00223 Penicillin-binding protein 2 (PBP-2) 228574:230703 forward MW:78099",0.843453300839416,0.884,FALSE,FALSE,0.068,0.034,-0.034
"68","IB211_00228c",">AF_00228c AF_00228c Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) 235585:237726 reverse MW:78616",0.0179473091537541,0.767,FALSE,FALSE,0.554,0.277,-0.277
"69","IB211_00229c",">AF_00229c AF_00229c SSU ribosomal protein S15p (S13e) 237919:238185 reverse MW:10224",0.648764780008245,0.878,FALSE,FALSE,0.272,0.136,-0.136
"70","IB211_00238",">AF_00238 AF_00238 Cold-shock DEAD-box protein A 246745:247923 forward MW:44740",0.000200275330250869,0.268,FALSE,FALSE,1.29,0.643,-0.643
"71","IB211_00241",">AF_00241 AF_00241 hypothetical protein 248741:249652 forward MW:35284",0.0062635605443784,0.704,FALSE,FALSE,-1.44,-0.721,0.721
"72","IB211_00242",">AF_00242 AF_00242 GCN5-related N-acetyltransferase 249692:250567 forward MW:32627",0.00192503676316426,0.598,FALSE,FALSE,-1.19,-0.597,0.597
"73","IB211_00244",">AF_00244 AF_00244 Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1) 250903:251877 forward MW:35633",0.0101708251789893,0.736,FALSE,FALSE,0.683,0.341,-0.341
"74","IB211_00245",">AF_00245 AF_00245 Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1) 251880:253184 forward MW:47079",0.000355323926914208,0.362,FALSE,FALSE,1.2,0.598,-0.598
"75","IB211_00246",">AF_00246 AF_00246 Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1) 253203:254297 forward MW:40236",0.011995977533713,0.746,FALSE,FALSE,0.598,0.299,-0.299
"76","IB211_00247",">AF_00247 AF_00247 Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1) 254290:255366 forward MW:39949",0.361502081043915,0.864,FALSE,FALSE,0.186,0.0931,-0.0931
"77","IB211_00248",">AF_00248 AF_00248 Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1) 255618:257423 forward MW:65378",0.0432309128215753,0.804,FALSE,FALSE,0.548,0.274,-0.274
"78","IB211_00249",">AF_00249 AF_00249 Amino acid ABC transporter, amino acid-binding/permease protein 257629:258492 forward MW:29750",0.0184646954140134,0.768,FALSE,FALSE,0.73,0.365,-0.365
"79","IB211_00250",">AF_00250 AF_00250 Amino acid ABC transporter, amino acid-binding/permease protein 258572:259306 forward MW:27296",0.0113241180743653,0.742,FALSE,FALSE,1.28,0.638,-0.638
"80","IB211_00251",">AF_00251 AF_00251 Amino acid ABC transporter, ATP-binding protein 259293:260015 forward MW:26465",2.63953605839827e-05,0.0546,FALSE,FALSE,1.94,0.97,-0.97
"81","IB211_00252c",">AF_00252c AF_00252c Prolyl-tRNA synthetase (EC 6.1.1.15) 260161:261597 reverse MW:54702",0.197875696750273,0.85,FALSE,FALSE,0.209,0.105,-0.105
"82","IB211_00261c",">AF_00261c AF_00261c hypothetical protein 267161:267547 reverse MW:13818",0.258240526775235,0.857,FALSE,FALSE,-0.894,-0.447,0.447
"83","IB211_00263c",">AF_00263c AF_00263c RNA methyltransferase, TrmA family 267875:269221 reverse MW:48640",0.0627575353165344,0.817,FALSE,FALSE,-0.424,-0.212,0.212
"84","IB211_00264c",">AF_00264c AF_00264c Conserved domain protein 269254:269841 reverse MW:21404",0.0962885442060533,0.831,FALSE,FALSE,-0.84,-0.42,0.42
"85","IB211_00266",">AF_00266 AF_00266 Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1) 270312:273071 forward MW:103683",0.757569543239545,0.882,FALSE,FALSE,-0.0509,-0.0254,0.0254
"86","IB211_00267",">AF_00267 AF_00267 COG1496: Uncharacterized conserved protein 273094:273906 forward MW:28985",0.905460100180079,0.886,FALSE,FALSE,-0.0601,-0.03,0.03
"87","IB211_00269",">AF_00269 AF_00269 Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3) 275585:279286 forward MW:132589",0.00120479615794652,0.543,FALSE,FALSE,-0.948,-0.474,0.474
"88","IB211_00271c",">AF_00271c AF_00271c Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1) 280387:281094 reverse MW:25602",0.000166630220461282,0.241,FALSE,FALSE,-1.58,-0.789,0.789
"89","IB211_00272c",">AF_00272c AF_00272c Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1) 281099:281950 reverse MW:30825",0.00614256386248482,0.703,FALSE,FALSE,-1.13,-0.564,0.564
"90","IB211_00275c",">AF_00275c AF_00275c High-affinity leucine-specific transport system, periplasmic binding protein LivK (TC 3.A.1.4.1) 284106:285308 reverse MW:41353",0.000664723056785689,0.461,FALSE,FALSE,-1.47,-0.734,0.734
"91","IB211_00276c",">AF_00276c AF_00276c 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100) 285433:286167 reverse MW:25510",0.58224588570845,0.875,FALSE,FALSE,0.172,0.0859,-0.0859
"92","IB211_00319c",">AF_00319c AF_00319c Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-) / Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-) 326142:327041 reverse MW:33074",0.000186288159336848,0.256,FALSE,FALSE,-1.51,-0.753,0.753
"93","IB211_00320c",">AF_00320c AF_00320c hypothetical protein 327195:327599 reverse MW:13690",0.198203703404261,0.85,FALSE,FALSE,-1.21,-0.605,0.605
"94","IB211_00321c",">AF_00321c AF_00321c UPF0251 protein CTC_01373 327577:327954 reverse MW:14117",0.000249089462808188,0.303,FALSE,FALSE,-3.19,-1.6,1.6
"95","IB211_00322c",">AF_00322c AF_00322c hypothetical protein 328037:329896 reverse MW:67962",0.484155524071866,0.871,FALSE,FALSE,-0.424,-0.212,0.212
"96","IB211_00328",">AF_00328 AF_00328 Peptide chain release factor 3 335365:336975 forward MW:60655",0.0406044870492562,0.802,FALSE,FALSE,-0.465,-0.233,0.233
"97","IB211_00332c",">AF_00332c AF_00332c Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-) 338964:342527 reverse MW:129058",0.000273354259470901,0.319,FALSE,FALSE,1.04,0.522,-0.522
"98","IB211_00336",">AF_00336 AF_00336 tRNA S(4)U 4-thiouridine synthase (former ThiI) 344552:345724 forward MW:43353",0.531257828686731,0.873,FALSE,FALSE,-0.104,-0.0521,0.0521
"99","IB211_00337",">AF_00337 AF_00337 Competence/damage-inducible protein CinA 345762:347021 forward MW:45161",0.226645283106181,0.853,FALSE,FALSE,0.25,0.125,-0.125
"100","IB211_00345",">AF_00345 AF_00345 Ribosome protection-type tetracycline resistance related proteins, group 2 350700:353375 forward MW:99062",0.0123683087805024,0.747,FALSE,FALSE,1.02,0.512,-0.512
"101","IB211_00346",">AF_00346 AF_00346 Sensor histidine kinase VanS (EC 2.7.3.-) 353372:354514 forward MW:42714",0.278794415826474,0.858,FALSE,FALSE,0.225,0.113,-0.113
"102","IB211_00353",">AF_00353 AF_00353 Pyridoxamine 5-phosphate oxidase-related, FMN-binding 359471:359962 forward MW:18493",0.502248281589495,0.872,FALSE,FALSE,-0.56,-0.28,0.28
"103","IB211_00354c",">AF_00354c AF_00354c Citrate synthase (si) (EC 2.3.3.1) 360073:361458 reverse MW:52149",0.266446511971926,0.857,FALSE,FALSE,-0.379,-0.189,0.189
"104","IB211_00358",">AF_00358 AF_00358 NAD(FAD)-utilizing dehydrogenase 364202:365605 forward MW:51308",0.0199955167440056,0.772,FALSE,FALSE,-0.451,-0.225,0.225
"105","IB211_00365",">AF_00365 AF_00365 FIG002344: Hydrolase (HAD superfamily) 369838:371526 forward MW:63122",0.00864861579299015,0.726,FALSE,FALSE,0.514,0.257,-0.257
"106","IB211_00367c",">AF_00367c AF_00367c hypothetical protein 372501:373253 reverse MW:26701",0.916200355210405,0.886,FALSE,FALSE,0.0212,0.0106,-0.0106
"107","IB211_00370",">AF_00370 AF_00370 FIG006542: Phosphoesterase 373952:374731 forward MW:28203",0.60470171072289,0.876,FALSE,FALSE,0.357,0.179,-0.179
"108","IB211_00372",">AF_00372 AF_00372 Chromosome partition protein smc 375871:377373 forward MW:54090",0.0126404412612735,0.748,FALSE,FALSE,-0.837,-0.419,0.419
"109","IB211_00373",">AF_00373 AF_00373 DNA double-strand break repair Rad50 ATPase 377370:378065 forward MW:24746",0.00219365860825629,0.612,FALSE,FALSE,-1.04,-0.522,0.522
"110","IB211_00375",">AF_00375 AF_00375 Signal peptidase I (EC 3.4.21.89) 378797:379411 forward MW:22595",0.00837779768095133,0.724,FALSE,FALSE,-0.999,-0.5,0.5
"111","IB211_00380c",">AF_00380c AF_00380c NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) 382333:383373 reverse MW:37379",4.83263857257619e-07,1.07e-05,FALSE,FALSE,3.18,1.59,-1.59
"112","IB211_00383c",">AF_00383c AF_00383c D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95) 386857:388026 reverse MW:41629",0.00025057451967115,0.304,FALSE,FALSE,-1.1,-0.549,0.549
"113","IB211_00384c",">AF_00384c AF_00384c Phosphoserine aminotransferase (EC 2.6.1.52) 388047:389132 reverse MW:40155",0.00170716855065372,0.585,FALSE,FALSE,-0.892,-0.446,0.446
"114","IB211_00387",">AF_00387 AF_00387 Periplasmic [Fe] hydrogenase (EC 1.12.7.2) 390329:391684 forward MW:49663",0.206727280249701,0.851,FALSE,FALSE,-0.446,-0.223,0.223
"115","IB211_00391",">AF_00391 AF_00391 NAD-reducing hydrogenase subunit HoxE (EC 1.12.1.2) 393208:393702 forward MW:17832",0.502118140701866,0.872,FALSE,FALSE,0.209,0.104,-0.104
"116","IB211_00392",">AF_00392 AF_00392 FIG176532: Sensory transduction histidine kinases 394018:394608 forward MW:21156",0.0258658339760768,0.784,FALSE,FALSE,0.719,0.359,-0.359
"117","IB211_00393",">AF_00393 AF_00393 Ferredoxin 394605:394973 forward MW:13532",0.138377376156726,0.841,FALSE,FALSE,0.861,0.43,-0.43
"118","IB211_00394",">AF_00394 AF_00394 NAD-reducing hydrogenase subunit HoxF (EC 1.12.1.2) 394989:396788 forward MW:64146",0.00625890322082681,0.704,FALSE,FALSE,-0.742,-0.371,0.371
"119","IB211_00395",">AF_00395 AF_00395 Periplasmic [Fe] hydrogenase large subunit (EC 1.12.7.2) 396804:398570 forward MW:64422",0.153098871331776,0.843,FALSE,FALSE,-0.265,-0.132,0.132
"120","IB211_00396c",">AF_00396c AF_00396c Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits 398681:399445 reverse MW:27630",0.00062392776043448,0.451,FALSE,FALSE,-1.01,-0.506,0.506
"121","IB211_00401",">AF_00401 AF_00401 Purine nucleoside phosphorylase (EC 2.4.2.1) 403999:404823 forward MW:29777",0.293817579770096,0.86,FALSE,FALSE,-0.209,-0.104,0.104
"122","IB211_00402",">AF_00402 AF_00402 S-adenosylhomocysteine deaminase (EC 3.5.4.28)",0.362738044890817,0.865,FALSE,FALSE,-0.178,-0.0891,0.0891
"123","IB211_00404",">AF_00404 AF_00404 Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8) 407840:408634 forward MW:29712",0.921868845892485,0.886,FALSE,FALSE,0.0239,0.0119,-0.0119
"124","IB211_00405",">AF_00405 AF_00405 DNA-binding protein HBsu 408743:409018 forward MW:9676",0.779759802639001,0.882,FALSE,FALSE,0.132,0.0661,-0.0661
"125","IB211_00408",">AF_00408 AF_00408 Two-component response regulator 411020:411712 forward MW:26307",0.408326486052825,0.867,FALSE,FALSE,-0.498,-0.249,0.249
"126","IB211_00409",">AF_00409 AF_00409 Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3) 411775:413187 forward MW:51332",0.160556304072519,0.845,FALSE,FALSE,0.26,0.13,-0.13
"127","IB211_00420",">AF_00420 AF_00420 RNA binding protein, contains ribosomal protein S1 domain 421363:421842 forward MW:17244",0.370764703088483,0.865,FALSE,FALSE,-0.356,-0.178,0.178
"128","IB211_00421",">AF_00421 AF_00421 Imidazolonepropionase and related amidohydrolases 422089:423246 forward MW:40735",0.460358874776616,0.87,FALSE,FALSE,0.114,0.0568,-0.0568
"129","IB211_00422",">AF_00422 AF_00422 Ribosomal subunit interface protein 423419:423964 forward MW:20406",2.45533592250425e-05,0.0501,FALSE,FALSE,2.17,1.08,-1.08
"130","IB211_00427",">AF_00427 AF_00427 putative amino acid amidase 426151:427134 forward MW:36320",0.878671182640744,0.885,FALSE,FALSE,-0.067,-0.0335,0.0335
"131","IB211_00428",">AF_00428 AF_00428 Maebl 427146:428006 forward MW:31579",0.015203671225795,0.758,FALSE,FALSE,-1.77,-0.884,0.884
"132","IB211_00433c",">AF_00433c AF_00433c hypothetical protein 430712:431530 reverse MW:30073",0.282960360010598,0.859,FALSE,FALSE,0.241,0.12,-0.12
"133","IB211_00435c",">AF_00435c AF_00435c Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13) 432328:433251 reverse MW:32788",0.0367838722667303,0.798,FALSE,FALSE,0.698,0.349,-0.349
"134","IB211_00438c",">AF_00438c AF_00438c Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1) 435316:436317 reverse MW:37613",0.00289703199016627,0.64,FALSE,FALSE,1.81,0.904,-0.904
"135","IB211_00440c",">AF_00440c AF_00440c Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1) 437409:439349 reverse MW:71224",0.0234033618901088,0.779,FALSE,FALSE,0.825,0.413,-0.413
"136","IB211_00441c",">AF_00441c AF_00441c L-alanine-DL-glutamate epimerase 439479:440567 reverse MW:38874",0.00477631873920931,0.684,FALSE,FALSE,1.38,0.689,-0.689
"137","IB211_00444c",">AF_00444c AF_00444c DNA-binding response regulator KdpE 442708:443439 reverse MW:26875",0.67763525497708,0.879,FALSE,FALSE,0.105,0.0527,-0.0527
"138","IB211_00458c",">AF_00458c AF_00458c Transcriptional regulator, GntR family 456555:457280 reverse MW:27390",0.037419846191623,0.799,FALSE,FALSE,-0.508,-0.254,0.254
"139","IB211_00462",">AF_00462 AF_00462 Transglutaminase-like enzymes, putative cysteine proteases 459674:461008 forward MW:50203",0.0420599667358317,0.803,FALSE,FALSE,0.43,0.215,-0.215
